"區域別","65歲以上男","65歲以上女"
"臺北市","155,790","168,126"
"高雄市","71,946","74,855"
"臺北縣","147,210","151,796"
"宜蘭縣","28,658","30,692"
"桃園縣","83,288","74,986"
"新竹縣","28,368","28,178"
"苗栗縣","36,104","38,092"
"臺中縣","66,863","68,866"
"彰化縣","72,208","83,227"
"南投縣","33,725","36,704"
"雲林縣","48,425","58,441"
"嘉義縣","38,813","45,668"
"臺南縣","66,392","74,877"
"高雄縣","62,885","63,270"
"屏東縣","52,954","55,840"
"臺東縣","14,930","15,132"
"花蓮縣","21,320","20,642"
"澎湖縣","6,656","7,287"
"基隆市","20,107","21,927"
"新竹市","18,148","19,657"
"臺中市","40,921","43,951"
"嘉義市","13,587","15,662"
"臺南市","33,780","38,192"
"金門縣","5,390","5,401"
"連江縣","481","479"
"總計","1,168,949","1,241,948"
