"區域別","65歲以上男","65歲以上女"
"新北市","168,533","186,457"
"臺北市","162,244","187,509"
"臺中市","115,369","128,637"
"臺南市","102,746","120,727"
"高雄市","144,557","158,656"
"宜蘭縣","28,913","32,304"
"桃園縣","86,580","88,299"
"新竹縣","28,380","29,623"
"苗栗縣","36,681","39,725"
"彰化縣","74,746","87,665"
"南投縣","34,137","38,480"
"雲林縣","49,628","60,597"
"嘉義縣","38,806","46,890"
"屏東縣","53,749","58,910"
"臺東縣","14,499","16,040"
"花蓮縣","21,010","22,425"
"澎湖縣","6,593","7,526"
"基隆市","20,233","23,446"
"新竹市","18,839","21,982"
"嘉義市","14,176","17,086"
"金門縣","6,203","6,767"
"連江縣","551","511"
"總計","1,227,173","1,380,262"
