"區域別","65歲以上男","65歲以上女"
"新北市","188,519","214,907"
"臺北市","174,651","208,046"
"桃園市","92,857","99,905"
"臺中市","125,386","142,753"
"臺南市","109,480","129,303"
"高雄市","156,703","177,367"
"宜蘭縣","29,766","33,877"
"新竹縣","29,330","31,193"
"苗栗縣","37,637","41,298"
"彰化縣","78,643","92,590"
"南投縣","35,496","40,337"
"雲林縣","51,367","62,380"
"嘉義縣","40,210","48,402"
"屏東縣","56,243","62,471"
"臺東縣","14,744","16,819"
"花蓮縣","21,374","23,999"
"澎湖縣","6,833","7,908"
"基隆市","21,644","25,497"
"新竹市","19,937","24,001"
"嘉義市","15,008","18,438"
"金門縣","6,903","7,478"
"連江縣","608","581"
"總計","1,313,339","1,509,550"
