"區域別","65歲以上男","65歲以上女"
"新北市","216,157","253,332"
"臺北市","189,841","231,600"
"桃園市","104,101","117,143"
"臺中市","140,643","163,352"
"臺南市","119,745","141,459"
"高雄市","174,204","201,898"
"宜蘭縣","31,699","36,386"
"新竹縣","30,926","33,434"
"苗栗縣","39,544","43,574"
"彰化縣","84,556","99,268"
"南投縣","37,613","42,866"
"雲林縣","54,200","64,921"
"嘉義縣","42,198","50,357"
"屏東縣","60,188","67,395"
"臺東縣","15,273","17,941"
"花蓮縣","22,731","26,155"
"澎湖縣","7,228","8,416"
"基隆市","23,815","28,426"
"新竹市","21,708","26,735"
"嘉義市","16,123","20,353"
"金門縣","7,582","8,271"
"連江縣","686","607"
"總計","1,440,761","1,683,889"
