"區域別","65歲以上男","65歲以上女"
"新北市","156,190","166,907"
"臺北市","156,669","175,319"
"臺中市","110,437","119,731"
"臺南市","101,052","116,383"
"高雄市","138,617","147,172"
"宜蘭縣","28,757","31,512"
"桃園縣","84,158","80,968"
"新竹縣","28,346","28,842"
"苗栗縣","36,285","38,835"
"彰化縣","72,836","85,121"
"南投縣","33,868","37,508"
"雲林縣","48,747","59,214"
"嘉義縣","38,740","46,335"
"屏東縣","53,163","57,142"
"臺東縣","14,648","15,453"
"花蓮縣","21,010","21,406"
"澎湖縣","6,601","7,417"
"基隆市","19,807","22,514"
"新竹市","18,305","20,706"
"嘉義市","13,690","16,220"
"金門縣","5,789","5,924"
"連江縣","482","456"
"總計","1,188,197","1,301,085"
