"區域別","65歲以上男","65歲以上女"
"臺北市","145,936","141,617"
"高雄市","64,202","61,104"
"臺北縣","131,369","124,192"
"宜蘭縣","26,672","26,940"
"桃園縣","80,734","60,974"
"新竹縣","25,369","24,296"
"苗栗縣","33,962","34,638"
"臺中縣","61,672","59,355"
"彰化縣","65,739","75,030"
"南投縣","31,469","33,156"
"雲林縣","44,506","53,456"
"嘉義縣","36,514","41,725"
"臺南縣","62,969","68,205"
"高雄縣","59,201","54,684"
"屏東縣","50,231","50,277"
"臺東縣","15,243","13,662"
"花蓮縣","21,748","18,154"
"澎湖縣","6,588","6,986"
"基隆市","19,134","19,118"
"新竹市","17,512","16,696"
"臺中市","37,166","36,209"
"嘉義市","12,709","13,651"
"臺南市","31,231","32,880"
"金門縣","4,340","4,416"
"連江縣","455","470"
"總計","1,086,671","1,071,891"
