"區域別","65歲以上男","65歲以上女"
"新北市","247,171","295,907"
"臺北市","205,520","254,718"
"桃園市","117,842","137,015"
"臺中市","157,396","185,473"
"臺南市","130,607","153,890"
"高雄市","191,430","226,949"
"宜蘭縣","33,749","39,074"
"新竹縣","32,833","35,907"
"苗栗縣","41,736","46,127"
"彰化縣","90,653","106,030"
"南投縣","40,136","45,442"
"雲林縣","56,590","67,254"
"嘉義縣","44,509","52,337"
"屏東縣","64,224","72,399"
"臺東縣","16,074","19,250"
"花蓮縣","24,131","28,253"
"澎湖縣","7,774","9,024"
"基隆市","26,349","31,896"
"新竹市","23,883","29,803"
"嘉義市","17,634","22,317"
"金門縣","8,591","9,301"
"連江縣","787","689"
"總計","1,579,619","1,869,055"
