"區域別","65歲以上男","65歲以上女"
"新北市","177,424","199,468"
"臺北市","167,736","196,575"
"臺中市","119,826","135,008"
"臺南市","105,862","124,702"
"高雄市","150,322","167,375"
"宜蘭縣","29,219","32,983"
"桃園縣","89,185","93,431"
"新竹縣","28,703","30,238"
"苗栗縣","37,075","40,466"
"彰化縣","76,607","89,837"
"南投縣","34,775","39,337"
"雲林縣","50,349","61,436"
"嘉義縣","39,450","47,666"
"屏東縣","54,935","60,744"
"臺東縣","14,548","16,355"
"花蓮縣","21,119","23,098"
"澎湖縣","6,694","7,687"
"基隆市","20,808","24,298"
"新竹市","19,298","22,894"
"嘉義市","14,563","17,726"
"金門縣","6,534","7,110"
"連江縣","588","551"
"總計","1,265,620","1,438,985"
