"區域別","總計"
"新北市","3,979,963"
"臺北市","2,695,371"
"桃園市","2,150,685"
"臺中市","2,769,005"
"臺南市","1,886,075"
"高雄市","2,779,332"
"宜蘭縣","457,349"
"新竹縣","547,794"
"苗栗縣","558,779"
"彰化縣","1,286,842"
"南投縣","504,838"
"雲林縣","694,519"
"嘉義縣","515,012"
"屏東縣","835,409"
"臺東縣","220,712"
"花蓮縣","330,810"
"澎湖縣","103,303"
"基隆市","372,044"
"新竹市","437,753"
"嘉義市","269,879"
"金門縣","135,223"
"連江縣","12,649"
"總計","23,543,346"
