"區域別","總計"
"臺北市","2,630,872"
"高雄市","1,514,935"
"臺北縣","3,770,631"
"宜蘭縣","460,354"
"桃園縣","1,912,875"
"新竹縣","488,312"
"苗栗縣","559,837"
"臺中縣","1,543,719"
"彰化縣","1,314,903"
"南投縣","534,997"
"雲林縣","727,921"
"嘉義縣","553,458"
"臺南縣","1,106,396"
"高雄縣","1,244,993"
"屏東縣","893,124"
"臺東縣","235,549"
"花蓮縣","344,776"
"澎湖縣","91,850"
"基隆市","390,631"
"新竹市","394,993"
"臺中市","1,044,896"
"嘉義市","272,431"
"臺南市","760,170"
"金門縣","77,100"
"連江縣","9,787"
"總計","22,879,510"
