"區域別","總計"
"臺北市","2,627,382"
"高雄市","1,509,699"
"臺北縣","3,678,667"
"宜蘭縣","463,215"
"桃園縣","1,824,247"
"新竹縣","459,726"
"苗栗縣","560,830"
"臺中縣","1,521,107"
"彰化縣","1,316,650"
"南投縣","540,180"
"雲林縣","739,951"
"嘉義縣","560,289"
"臺南縣","1,106,706"
"高雄縣","1,237,543"
"屏東縣","903,721"
"臺東縣","242,685"
"花蓮縣","351,045"
"澎湖縣","92,238"
"基隆市","392,214"
"新竹市","383,158"
"臺中市","1,009,921"
"嘉義市","269,584"
"臺南市","749,941"
"金門縣","61,159"
"連江縣","8,807"
"總計","22,610,665"
