"區域別","總計"
"臺北市","2,629,689"
"高雄市","1,520,926"
"臺北縣","3,800,575"
"宜蘭縣","460,319"
"桃園縣","1,937,045"
"新竹縣","496,422"
"苗栗縣","560,197"
"臺中縣","1,551,722"
"彰化縣","1,314,311"
"南投縣","533,607"
"雲林縣","725,376"
"嘉義縣","551,154"
"臺南縣","1,105,348"
"高雄縣","1,244,354"
"屏東縣","889,319"
"臺東縣","233,609"
"花蓮縣","343,262"
"澎湖縣","92,423"
"基隆市","390,216"
"新竹市","399,599"
"臺中市","1,056,993"
"嘉義市","273,137"
"臺南市","764,999"
"金門縣","81,903"
"連江縣","9,954"
"總計","22,966,459"
