"區域別","總計"
"新北市","3,917,945"
"臺北市","2,652,959"
"臺中市","2,665,613"
"臺南市","1,877,115"
"高雄市","2,774,925"
"宜蘭縣","459,018"
"桃園縣","2,014,216"
"新竹縣","517,853"
"苗栗縣","562,164"
"彰化縣","1,302,754"
"南投縣","522,562"
"雲林縣","713,295"
"嘉義縣","537,628"
"屏東縣","864,081"
"臺東縣","228,118"
"花蓮縣","336,733"
"澎湖縣","97,248"
"基隆市","379,742"
"新竹市","420,342"
"嘉義市","271,524"
"金門縣","104,538"
"連江縣","10,133"
"總計","23,230,506"
