"區域別","總計"
"新北市","35,915"
"臺北市","26,710"
"臺中市","24,555"
"臺南市","14,788"
"高雄市","21,626"
"宜蘭縣","3,495"
"桃園縣","16,757"
"新竹縣","5,433"
"苗栗縣","5,493"
"彰化縣","11,591"
"南投縣","3,481"
"雲林縣","5,126"
"嘉義縣","3,130"
"屏東縣","5,049"
"臺東縣","1,657"
"花蓮縣","2,657"
"澎湖縣","867"
"基隆市","2,165"
"新竹市","5,167"
"嘉義市","1,980"
"金門縣","1,318"
"連江縣","153"
"總計","199,113"
