"區域別","總計"
"新北市","40,847"
"臺北市","29,498"
"臺中市","28,324"
"臺南市","17,752"
"高雄市","24,963"
"宜蘭縣","3,930"
"桃園縣","19,866"
"新竹縣","6,204"
"苗栗縣","6,207"
"彰化縣","13,658"
"南投縣","4,056"
"雲林縣","6,167"
"嘉義縣","3,889"
"屏東縣","6,285"
"臺東縣","1,858"
"花蓮縣","2,782"
"澎湖縣","978"
"基隆市","2,399"
"新竹市","6,161"
"嘉義市","2,072"
"金門縣","1,431"
"連江縣","154"
"總計","229,481"
