"區域別","總計"
"新北市","36,313"
"臺北市","28,987"
"桃園市","22,384"
"臺中市","26,313"
"臺南市","15,769"
"高雄市","22,469"
"宜蘭縣","3,437"
"新竹縣","5,584"
"苗栗縣","5,756"
"彰化縣","13,314"
"南投縣","3,576"
"雲林縣","4,986"
"嘉義縣","3,054"
"屏東縣","5,266"
"臺東縣","1,605"
"花蓮縣","2,693"
"澎湖縣","892"
"基隆市","2,439"
"新竹市","4,976"
"嘉義市","2,224"
"金門縣","1,396"
"連江縣","165"
"總計","213,598"
