"區域別","總計"
"新北市","38,604"
"臺北市","29,024"
"桃園市","17,360"
"臺中市","26,194"
"臺南市","15,426"
"高雄市","22,520"
"宜蘭縣","3,527"
"新竹縣","5,755"
"苗栗縣","6,019"
"彰化縣","12,033"
"南投縣","3,559"
"雲林縣","5,338"
"嘉義縣","2,965"
"屏東縣","5,373"
"臺東縣","1,739"
"花蓮縣","2,639"
"澎湖縣","943"
"基隆市","2,062"
"新竹市","5,503"
"嘉義市","2,132"
"金門縣","1,495"
"連江縣","173"
"總計","210,383"
