"區域別","總計"
"臺北市","22,154"
"高雄市","12,330"
"臺北縣","33,231"
"宜蘭縣","4,428"
"桃園縣","19,825"
"新竹縣","5,932"
"苗栗縣","5,963"
"臺中縣","15,831"
"彰化縣","14,287"
"南投縣","5,356"
"雲林縣","7,715"
"嘉義縣","6,029"
"臺南縣","9,851"
"高雄縣","11,728"
"屏東縣","8,383"
"臺東縣","2,463"
"花蓮縣","3,415"
"澎湖縣","941"
"基隆市","3,184"
"新竹市","4,772"
"臺中市","9,237"
"嘉義市","2,281"
"臺南市","6,260"
"金門縣","741"
"連江縣","82"
"總計","216,419"
