"區域別","總計"
"新北市","34,323"
"臺北市","25,132"
"臺中市","24,027"
"臺南市","14,208"
"高雄市","21,411"
"宜蘭縣","3,544"
"桃園縣","18,041"
"新竹縣","5,481"
"苗栗縣","5,084"
"彰化縣","11,833"
"南投縣","3,477"
"雲林縣","5,442"
"嘉義縣","3,577"
"屏東縣","5,354"
"臺東縣","1,746"
"花蓮縣","2,603"
"澎湖縣","810"
"基隆市","1,975"
"新竹市","5,369"
"嘉義市","1,904"
"金門縣","1,154"
"連江縣","132"
"總計","196,627"
