"區域別","總計"
"新北市","28,927"
"臺北市","22,849"
"桃園市","22,583"
"臺中市","22,646"
"臺南市","12,379"
"高雄市","20,107"
"宜蘭縣","3,055"
"新竹縣","4,449"
"苗栗縣","3,346"
"彰化縣","12,527"
"南投縣","3,232"
"雲林縣","4,100"
"嘉義縣","2,559"
"屏東縣","4,599"
"臺東縣","1,479"
"花蓮縣","2,411"
"澎湖縣","881"
"基隆市","2,180"
"新竹市","4,019"
"嘉義市","1,886"
"金門縣","1,254"
"連江縣","133"
"總計","181,601"
