"區域別","總計"
"新北市","25,072"
"臺北市","18,026"
"桃園市","13,198"
"臺中市","17,717"
"臺南市","15,470"
"高雄市","21,821"
"宜蘭縣","3,991"
"新竹縣","3,779"
"苗栗縣","5,065"
"彰化縣","10,576"
"南投縣","4,918"
"雲林縣","7,217"
"嘉義縣","5,568"
"屏東縣","8,393"
"臺東縣","2,421"
"花蓮縣","3,280"
"澎湖縣","944"
"基隆市","3,148"
"新竹市","2,789"
"嘉義市","2,049"
"金門縣","796"
"連江縣","58"
"總計","176,296"
