"區域別","總計"
"臺北市","13,522"
"高雄市","7,927"
"臺北縣","15,349"
"宜蘭縣","3,283"
"桃園縣","8,482"
"新竹縣","2,743"
"苗栗縣","3,955"
"臺中縣","7,547"
"彰化縣","8,079"
"南投縣","4,005"
"雲林縣","5,984"
"嘉義縣","4,516"
"臺南縣","7,928"
"高雄縣","7,894"
"屏東縣","6,950"
"臺東縣","2,352"
"花蓮縣","3,074"
"澎湖縣","751"
"基隆市","2,476"
"新竹市","1,933"
"臺中市","4,148"
"嘉義市","1,472"
"臺南市","3,852"
"金門縣","368"
"連江縣","46"
"總計","128,636"
