"區域別","總計"
"臺北市","13,337"
"高雄市","7,510"
"臺北縣","15,069"
"宜蘭縣","3,159"
"桃園縣","8,293"
"新竹縣","2,889"
"苗栗縣","3,894"
"臺中縣","7,488"
"彰化縣","8,261"
"南投縣","3,975"
"雲林縣","6,044"
"嘉義縣","4,605"
"臺南縣","7,720"
"高雄縣","7,982"
"屏東縣","6,945"
"臺東縣","2,318"
"花蓮縣","3,199"
"澎湖縣","758"
"基隆市","2,384"
"新竹市","1,992"
"臺中市","4,008"
"嘉義市","1,521"
"臺南市","3,922"
"金門縣","327"
"連江縣","47"
"總計","127,647"
