"區域別","總計"
"新北市","20,746"
"臺北市","16,379"
"臺中市","15,138"
"臺南市","14,021"
"高雄市","19,277"
"宜蘭縣","3,531"
"桃園縣","10,972"
"新竹縣","3,515"
"苗栗縣","4,670"
"彰化縣","9,298"
"南投縣","4,617"
"雲林縣","6,825"
"嘉義縣","5,127"
"屏東縣","7,604"
"臺東縣","2,357"
"花蓮縣","3,224"
"澎湖縣","786"
"基隆市","2,830"
"新竹市","2,533"
"嘉義市","1,851"
"金門縣","544"
"連江縣","63"
"總計","155,908"
