"區域別","總計"
"新北市","23,929"
"臺北市","17,902"
"桃園市","12,838"
"臺中市","17,090"
"臺南市","15,195"
"高雄市","21,496"
"宜蘭縣","3,903"
"新竹縣","3,727"
"苗栗縣","4,995"
"彰化縣","10,511"
"南投縣","4,838"
"雲林縣","7,264"
"嘉義縣","5,537"
"屏東縣","8,245"
"臺東縣","2,305"
"花蓮縣","3,516"
"澎湖縣","909"
"基隆市","3,031"
"新竹市","2,642"
"嘉義市","2,102"
"金門縣","745"
"連江縣","64"
"總計","172,784"
