"區域別","總計"
"臺北市","14,871"
"高雄市","8,841"
"臺北縣","17,581"
"宜蘭縣","3,305"
"桃園縣","9,507"
"新竹縣","2,978"
"苗栗縣","4,353"
"臺中縣","8,523"
"彰化縣","8,768"
"南投縣","4,312"
"雲林縣","6,500"
"嘉義縣","4,720"
"臺南縣","8,471"
"高雄縣","8,429"
"屏東縣","7,385"
"臺東縣","2,369"
"花蓮縣","3,217"
"澎湖縣","789"
"基隆市","2,602"
"新竹市","2,202"
"臺中市","4,964"
"嘉義市","1,623"
"臺南市","4,348"
"金門縣","412"
"連江縣","41"
"總計","141,111"
