"區域別","總計"
"臺北市","15,606"
"高雄市","9,083"
"臺北縣","17,882"
"宜蘭縣","3,441"
"桃園縣","9,677"
"新竹縣","3,278"
"苗栗縣","4,255"
"臺中縣","8,755"
"彰化縣","8,754"
"南投縣","4,291"
"雲林縣","6,476"
"嘉義縣","4,964"
"臺南縣","8,646"
"高雄縣","8,434"
"屏東縣","7,523"
"臺東縣","2,200"
"花蓮縣","3,170"
"澎湖縣","765"
"基隆市","2,647"
"新竹市","2,200"
"臺中市","5,071"
"嘉義市","1,660"
"臺南市","4,394"
"金門縣","410"
"連江縣","42"
"總計","143,624"
