"區域別","65歲以上男","65歲以上女"
"新北市","283,055","345,333"
"臺北市","221,862","277,731"
"桃園市","135,661","161,098"
"臺中市","177,732","212,530"
"臺南市","143,813","169,155"
"高雄市","211,568","255,590"
"宜蘭縣","36,500","42,436"
"新竹縣","35,633","39,080"
"苗栗縣","44,516","49,260"
"彰化縣","98,289","114,672"
"南投縣","43,378","48,886"
"雲林縣","59,833","70,350"
"嘉義縣","47,585","54,803"
"屏東縣","68,980","78,646"
"臺東縣","17,139","20,811"
"花蓮縣","26,328","30,967"
"澎湖縣","8,493","9,789"
"基隆市","29,462","35,723"
"新竹市","26,551","33,272"
"嘉義市","19,300","24,525"
"金門縣","9,954","10,746"
"連江縣","915","793"
"總計","1,746,547","2,086,196"
