"區域別","65歲以上男","65歲以上女"
"新北市","284,182","346,958"
"臺北市","222,060","278,169"
"桃園市","136,280","162,014"
"臺中市","178,439","213,538"
"臺南市","144,209","169,696"
"高雄市","212,281","256,498"
"宜蘭縣","36,625","42,559"
"新竹縣","35,771","39,245"
"苗栗縣","44,650","49,370"
"彰化縣","98,632","115,054"
"南投縣","43,523","49,011"
"雲林縣","59,956","70,483"
"嘉義縣","47,695","54,904"
"屏東縣","69,099","78,845"
"臺東縣","17,209","20,876"
"花蓮縣","26,450","31,068"
"澎湖縣","8,522","9,803"
"基隆市","29,588","35,829"
"新竹市","26,640","33,426"
"嘉義市","19,336","24,614"
"金門縣","9,997","10,811"
"連江縣","922","794"
"總計","1,752,066","2,093,565"
