"區域別","65歲以上男","65歲以上女"
"新北市","285,027","348,262"
"臺北市","221,942","278,137"
"桃園市","136,881","162,722"
"臺中市","179,076","214,361"
"臺南市","144,523","170,138"
"高雄市","212,717","257,224"
"宜蘭縣","36,735","42,710"
"新竹縣","35,882","39,351"
"苗栗縣","44,741","49,469"
"彰化縣","98,917","115,338"
"南投縣","43,664","49,144"
"雲林縣","60,064","70,566"
"嘉義縣","47,806","54,958"
"屏東縣","69,239","79,015"
"臺東縣","17,235","20,886"
"花蓮縣","26,528","31,154"
"澎湖縣","8,535","9,826"
"基隆市","29,666","35,960"
"新竹市","26,695","33,511"
"嘉義市","19,347","24,672"
"金門縣","10,050","10,854"
"連江縣","930","801"
"總計","1,756,200","2,099,059"
