"區域別","65歲以上男","65歲以上女"
"新北市","267,021","323,623"
"臺北市","215,160","268,363"
"桃園市","127,587","150,385"
"臺中市","168,303","200,283"
"臺南市","137,573","162,067"
"高雄市","202,397","242,478"
"宜蘭縣","35,196","40,938"
"新竹縣","34,311","37,600"
"苗栗縣","43,304","47,979"
"彰化縣","94,752","110,780"
"南投縣","41,886","47,271"
"雲林縣","58,296","68,924"
"嘉義縣","46,226","53,632"
"屏東縣","66,773","75,852"
"臺東縣","16,580","20,004"
"花蓮縣","25,315","29,694"
"澎湖縣","8,143","9,401"
"基隆市","27,995","34,025"
"新竹市","25,355","31,783"
"嘉義市","18,528","23,534"
"金門縣","9,311","10,055"
"連江縣","859","736"
"總計","1,670,871","1,989,407"
