"區域別","65歲以上男","65歲以上女"
"新北市","269,515","326,963"
"臺北市","215,997","269,475"
"桃園市","128,912","152,054"
"臺中市","169,582","202,133"
"臺南市","138,381","162,978"
"高雄市","203,664","244,365"
"宜蘭縣","35,460","41,199"
"新竹縣","34,485","37,837"
"苗栗縣","43,521","48,233"
"彰化縣","95,204","111,311"
"南投縣","42,204","47,574"
"雲林縣","58,439","69,048"
"嘉義縣","46,375","53,819"
"屏東縣","67,048","76,250"
"臺東縣","16,679","20,127"
"花蓮縣","25,456","29,900"
"澎湖縣","8,190","9,439"
"基隆市","28,218","34,312"
"新竹市","25,560","31,989"
"嘉義市","18,629","23,652"
"金門縣","9,388","10,134"
"連江縣","871","736"
"總計","1,681,778","2,003,528"
