"區域別","65歲以上男","65歲以上女"
"臺北市","137,369","116,386"
"高雄市","57,364","48,014"
"臺北縣","122,697","102,714"
"宜蘭縣","24,114","22,880"
"桃園縣","79,583","48,622"
"新竹縣","22,009","20,110"
"苗栗縣","30,401","30,459"
"臺中縣","56,493","49,440"
"彰化縣","57,672","64,446"
"南投縣","28,231","28,541"
"雲林縣","38,805","46,504"
"嘉義縣","32,860","36,324"
"臺南縣","58,246","59,868"
"高雄縣","56,086","46,252"
"屏東縣","46,005","43,875"
"臺東縣","15,605","11,901"
"花蓮縣","22,267","15,533"
"澎湖縣","6,337","6,468"
"基隆市","18,195","15,701"
"新竹市","17,152","13,791"
"臺中市","33,296","28,614"
"嘉義市","11,434","11,450"
"臺南市","28,849","27,168"
"金門縣","3,170","3,707"
"連江縣","356","379"
"總計","1,004,596","899,147"
