"區域別","65歲以上總計"
"新北市","354,990"
"臺北市","349,753"
"臺中市","244,006"
"臺南市","223,473"
"高雄市","303,213"
"宜蘭縣","61,217"
"桃園縣","174,879"
"新竹縣","58,003"
"苗栗縣","76,406"
"彰化縣","162,411"
"南投縣","72,617"
"雲林縣","110,225"
"嘉義縣","85,696"
"屏東縣","112,659"
"臺東縣","30,539"
"花蓮縣","43,435"
"澎湖縣","14,119"
"基隆市","43,679"
"新竹市","40,821"
"嘉義市","31,262"
"金門縣","12,970"
"連江縣","1,062"
"總計","2,607,435"
