"區域別","65歲以上總計"
"臺北市","296,385"
"高雄市","130,442"
"臺北縣","265,954"
"宜蘭縣","55,396"
"桃園縣","145,841"
"新竹縣","52,045"
"苗栗縣","70,267"
"臺中縣","125,003"
"彰化縣","145,008"
"南投縣","66,537"
"雲林縣","100,777"
"嘉義縣","80,206"
"臺南縣","134,253"
"高雄縣","117,186"
"屏東縣","102,827"
"臺東縣","29,151"
"花蓮縣","40,543"
"澎湖縣","13,739"
"基隆市","39,488"
"新竹市","35,101"
"臺中市","76,353"
"嘉義市","27,295"
"臺南市","65,981"
"金門縣","9,275"
"連江縣","965"
"總計","2,226,018"
