"區域別","65歲以上總計"
"新北市","582,734"
"臺北市","480,239"
"桃園市","274,194"
"臺中市","364,604"
"臺南市","297,448"
"高雄市","440,970"
"宜蘭縣","75,507"
"新竹縣","71,309"
"苗栗縣","90,767"
"彰化縣","204,043"
"南投縣","88,585"
"雲林縣","126,638"
"嘉義縣","99,342"
"屏東縣","141,751"
"臺東縣","36,397"
"花蓮縣","54,557"
"澎湖縣","17,428"
"基隆市","61,401"
"新竹市","56,580"
"嘉義市","41,652"
"金門縣","19,256"
"連江縣","1,582"
"總計","3,626,984"
