"區域別","65歲以上總計"
"新北市","543,078"
"臺北市","460,238"
"桃園市","254,857"
"臺中市","342,869"
"臺南市","284,497"
"高雄市","418,379"
"宜蘭縣","72,823"
"新竹縣","68,740"
"苗栗縣","87,863"
"彰化縣","196,683"
"南投縣","85,578"
"雲林縣","123,844"
"嘉義縣","96,846"
"屏東縣","136,623"
"臺東縣","35,324"
"花蓮縣","52,384"
"澎湖縣","16,798"
"基隆市","58,245"
"新竹市","53,686"
"嘉義市","39,951"
"金門縣","17,892"
"連江縣","1,476"
"總計","3,448,674"
