"區域別","65歲以上總計"
"臺北市","256,755"
"高雄市","107,316"
"臺北縣","227,966"
"宜蘭縣","47,637"
"桃園縣","129,646"
"新竹縣","42,762"
"苗栗縣","61,640"
"臺中縣","107,393"
"彰化縣","123,990"
"南投縣","57,620"
"雲林縣","86,664"
"嘉義縣","70,041"
"臺南縣","119,295"
"高雄縣","103,403"
"屏東縣","90,966"
"臺東縣","27,695"
"花蓮縣","38,047"
"澎湖縣","12,924"
"基隆市","34,361"
"新竹市","31,299"
"臺中市","62,907"
"嘉義市","23,136"
"臺南市","56,744"
"金門縣","7,070"
"連江縣","751"
"總計","1,928,028"
