"區域別","65歲以上總計"
"新北市","403,426"
"臺北市","382,697"
"桃園市","192,762"
"臺中市","268,139"
"臺南市","238,783"
"高雄市","334,070"
"宜蘭縣","63,643"
"新竹縣","60,523"
"苗栗縣","78,935"
"彰化縣","171,233"
"南投縣","75,833"
"雲林縣","113,747"
"嘉義縣","88,612"
"屏東縣","118,714"
"臺東縣","31,563"
"花蓮縣","45,373"
"澎湖縣","14,741"
"基隆市","47,141"
"新竹市","43,938"
"嘉義市","33,446"
"金門縣","14,381"
"連江縣","1,189"
"總計","2,822,889"
