"區域別","65歲以上總計"
"新北市","376,892"
"臺北市","364,311"
"臺中市","254,834"
"臺南市","230,564"
"高雄市","317,697"
"宜蘭縣","62,202"
"桃園縣","182,616"
"新竹縣","58,941"
"苗栗縣","77,541"
"彰化縣","166,444"
"南投縣","74,112"
"雲林縣","111,785"
"嘉義縣","87,116"
"屏東縣","115,679"
"臺東縣","30,903"
"花蓮縣","44,217"
"澎湖縣","14,381"
"基隆市","45,106"
"新竹市","42,192"
"嘉義市","32,289"
"金門縣","13,644"
"連江縣","1,139"
"總計","2,704,605"
