"區域別","65歲以上總計"
"新北市","323,097"
"臺北市","331,988"
"臺中市","230,168"
"臺南市","217,435"
"高雄市","285,789"
"宜蘭縣","60,269"
"桃園縣","165,126"
"新竹縣","57,188"
"苗栗縣","75,120"
"彰化縣","157,957"
"南投縣","71,376"
"雲林縣","107,961"
"嘉義縣","85,075"
"屏東縣","110,305"
"臺東縣","30,101"
"花蓮縣","42,416"
"澎湖縣","14,018"
"基隆市","42,321"
"新竹市","39,011"
"嘉義市","29,910"
"金門縣","11,713"
"連江縣","938"
"總計","2,489,282"
