"區域別","65歲以上總計"
"臺北市","271,713"
"高雄市","115,777"
"臺北縣","239,361"
"宜蘭縣","50,443"
"桃園縣","135,153"
"新竹縣","46,245"
"苗栗縣","65,175"
"臺中縣","113,846"
"彰化縣","132,556"
"南投縣","61,005"
"雲林縣","92,555"
"嘉義縣","74,188"
"臺南縣","125,559"
"高雄縣","108,254"
"屏東縣","95,789"
"臺東縣","28,218"
"花蓮縣","38,840"
"澎湖縣","13,347"
"基隆市","36,473"
"新竹市","32,644"
"臺中市","67,917"
"嘉義市","24,623"
"臺南市","60,162"
"金門縣","7,930"
"連江縣","854"
"總計","2,038,627"
