"區域別","65歲以上總計"
"新北市","432,617"
"臺北市","401,357"
"桃園市","205,089"
"臺中市","284,228"
"臺南市","248,120"
"高雄市","352,878"
"宜蘭縣","65,469"
"新竹縣","62,186"
"苗栗縣","80,790"
"彰化縣","176,563"
"南投縣","77,777"
"雲林縣","115,573"
"嘉義縣","90,179"
"屏東縣","122,417"
"臺東縣","32,183"
"花蓮縣","46,879"
"澎湖縣","15,133"
"基隆市","49,378"
"新竹市","45,841"
"嘉義市","34,627"
"金門縣","14,999"
"連江縣","1,234"
"總計","2,955,517"
