"區域別","65歲以上總計"
"新北市","505,785"
"臺北市","441,260"
"桃園市","237,519"
"臺中市","322,467"
"臺南市","272,612"
"高雄市","397,090"
"宜蘭縣","70,287"
"新竹縣","66,393"
"苗栗縣","85,606"
"彰化縣","190,293"
"南投縣","83,007"
"雲林縣","121,452"
"嘉義縣","94,613"
"屏東縣","131,807"
"臺東縣","34,250"
"花蓮縣","50,675"
"澎湖縣","16,207"
"基隆市","55,339"
"新竹市","51,041"
"嘉義市","38,322"
"金門縣","16,954"
"連江縣","1,374"
"總計","3,284,353"
