"區域別","65歲以上總計"
"新北市","469,489"
"臺北市","421,441"
"桃園市","221,244"
"臺中市","303,995"
"臺南市","261,204"
"高雄市","376,102"
"宜蘭縣","68,085"
"新竹縣","64,360"
"苗栗縣","83,118"
"彰化縣","183,824"
"南投縣","80,479"
"雲林縣","119,121"
"嘉義縣","92,555"
"屏東縣","127,583"
"臺東縣","33,214"
"花蓮縣","48,886"
"澎湖縣","15,644"
"基隆市","52,241"
"新竹市","48,443"
"嘉義市","36,476"
"金門縣","15,853"
"連江縣","1,293"
"總計","3,124,650"
